port_code,city,state_code,new_city
ANC,ANCHORAGE,AK,Anchorage
EGL,EAGLE,AK,Eagle
FRB,FAIRBANKS,AK,Fairbanks
HOM,HOMER,AK,Homer
HYD,HYDER,AK,Hyder
JUN,JUNEAU,AK,Juneau
5KE,KETCHIKAN,AK,Ketchikan
KET,KETCHIKAN,AK,Ketchikan
NIK,NIKISKI,AK,Nikiski
NOM,NOM,AK,Nome
ORI,PORT LIONS SPB,AK,Port Lions
SKA,SKAGWAY,AK,Skagway
SNP,ST. PAUL ISLAND,AK,Saint Paul Island
TKI,TOKEEN,AK,Tokeen
WRA,WRANGELL,AK,Wrangell
HSV,MADISON COUNTY - HUNTSVILLE,AL,Huntsville
MOB,MOBILE,AL,Mobile
ROG,ROGERS ARPT,AR,Rogers
DOU,DOUGLAS,AZ,Douglas
NOG,NOGALES,AZ,Nogales
PHO,PHOENIX,AZ,Phoenix
TUC,TUCSON,AZ,Tucson
YUI,YUMA,AZ,Yuma
BUR,BURBANK,CA,Burbank
CAL,CALEXICO,CA,Calexico
FRE,FRESNO,CA,Fresno
ICP,IMPERIAL COUNTY,CA,Imperial
LNB,LONG BEACH,CA,Long Beach
LOS,LOS ANGELES,CA,Los Angeles
BFL,MEADOWS FIELD - BAKERSFIELD,CA,Bakersfield
OAK,OAKLAND,CA,Oakland
ONT,ONTARIO,CA,Ontario
OTM,OTAY MESA,CA,San Diego
PSP,PALM SPRINGS,CA,Palm Springs
SAC,SACRAMENTO,CA,Sacramento
SDP,SAN DIEGO,CA,San Diego
SFR,SAN FRANCISCO,CA,San Francisco
SNJ,SAN JOSE,CA,San Jose
SLO,SAN LUIS OBISPO,CA,San Luis Obispo
SAA,SANTA ANA,CA,Santa Ana
APA,ARAPAHOE COUNTY,CO,Arapahoe County
COS,COLORADO SPRINGS,CO,Colorado Springs
DEN,DENVER,CO,Denver
DRO,LA PLATA - DURANGO,CO,Durango
BDL,BRADLEY INTERNATIONAL,CT,Hartford
BGC,BRIDGEPORT,CT,Bridgeport
GRT,GROTON,CT,Groton
HAR,HARTFORD,CT,Hartford
NWH,NEW HAVEN,CT,New Haven
NWL,NEW LONDON,CT,New London
WLL,WILMINGTON,DE,Wilmington
BOC,BOCAGRANDE,FL,Fort Myers
SRQ,BRADENTON - SARASOTA,FL,Sarasota
CAN,CAPE CANAVERAL,FL,Cape Canaveral
DAB,DAYTONA BEACH INTERNATIONAL,FL,Daytona Beach
FRN,FERNANDINA,FL,Fernandina Beach
FTL,FORT LAUDERDALE,FL,Fort Lauderdale
FMY,FORT MYERS,FL,Fort Myers
FPF,FORT PIERCE,FL,Fort Pierce
GNV,J R ALISON MUNI - GAINESVILLE,FL,Gainesville
JAC,JACKSONVILLE,FL,Jacksonville
KEY,KEY WEST,FL,Key West
LEE,LEESBURG MUNICIPAL AIRPORT,FL,Leesburg
